Service ID,CCG17CD,Est CCG from Postc,Service Name,postcode,Address,Enquiries Contact - phone,Fax,Enquiries Contact - email,URL,Service Provider / NHS Trust,Commisioner
aberdeen,S03000012,S03000012,Aberdeen Mobility and Rehabilitation Services,AB15 6LS,Woodend Hopsital Eday Road   Aberdeen City of Aberdeen,01224 556840,01224 556842,,,NHS Grampian,NHS Grampian
bednluton,E38000010,E38000010,Bedfordshire and Luton Wheelchair Service,MK45 1AB,The Verandah Steppingley Hospital Froghall Road STEPPINGLEY Bedford Bedfordshire,01525 631349,01525 631190,wheelchairs.admin@sept.nhs.uk,,South Essex Partnership Trust (SEPT),Bedfordshire CCG's and Luton CCG's
bednluton,E38000102,E38000010,Bedfordshire and Luton Wheelchair Service,MK45 1AB,The Verandah Steppingley Hospital Froghall Road STEPPINGLEY Bedford Bedfordshire,01525 631349,01525 631190,wheelchairs.admin@sept.nhs.uk,,South Essex Partnership Trust (SEPT),Bedfordshire CCG's and Luton CCG's
eaberks,E38000224,E38000224,East Berks Wheelchair Service,SL6 6DU,Mobility Centre (Wheelchair Service) St Mark's Hospital St Mark's Road  Maidenhead Berkshire,01753 - 638647,01753 - 638648,,,Berkshire NHS,East Berks Wheelchair Service
weberks,E38000114,E38000221,West Berkshire Wheelchair Service,RG1 5AN,Royal Berkshire Hospital West Drive Buildings West Drive London Road Reading Berkshire,0118 3226706,0118 3227972,,,Royal Berkshire NHS Foundation Trust,Berkshire CCG
buckingh,E38000207,E38000223,Buckinghamshire Wheelchair Service,HP7 0JD.,Amersham Hospital Whielden Street   Amersham Buckinghamshire,01494 734046,01494 734746,,http://www.buckshealthcare.nhs.uk/Our%20clinical%20services/A%20to%20Z%20of%20clinical%20services/Wheelchair%20service/wheelchair-service.htm,Buckinghamshire Healthcare NHS Trust,Aylesbury Vale CCG & Chiltern CCG
milkeyn,E38000107,E38000107,Milton Keynes Wheelchair Service,MK3 6EN,Equipment Services Whalley Drive Bletchley  Milton Keynes Buckinghamshire,01908 379385,01908 650407,MKWheelchairs@mkpct.nhs.uk,,Milton Keynes Community Health Service,Milton Keynes Community Health Service
huntingd,E38000026,E38000026,Huntingdon Wheelchair Service,CB23 3UY,Lower Pendrill Court   Papworth Everard Cambridge Cambridgeshire,01480 830495,01480 839154,wheelchairservice@cambridgeshirepct.nhs.uk,www.cambridgeshirepct.nhs.uk,Cambridgeshire Community Services,Cambridgeshire Community Services
petebor,E38000026,E38000026,Peterborough Wheelchair Services,PE3 6BD,City Care Centre Thorpe Road   Peterborough Cambridgeshire,01733 776160/776161,01733 776351,,,Peterborough   Hospitals NHS Foundation Trust,Peterborough   Hospitals NHS Foundation Trust
halton,E38000068,E38000068,Halton Wheelchair Service,WA7 1HB,Independent Living Centre Collier Street   Runcorn Cheshire,01928 582939,,,,Bridgewater Community Healthcare NHS trust,Halton CCG and St Helens CCG
easchesh,E38000056,E38000056,East Cheshire Wheelchair Service,CW12 3AR,Congleton War Memorial Hospital Canal Road   Congleton Cheshire,01625 663345,01625 663486,ecn-tr.WAC@nhs.net,,East Cheshire NHS Trust,East Cheshire NHS Trust
stockpor,E38000174,E38000174,Stockport Wheelchair Service,SK4 1LW,1st Floor Kingsgate House Wellington Road  North   Stockport Cheshire,0161 426 5454,0161 426 5459,,,NHS Stockport,NHS Stockport
wechesh,E38000196,E38000196,West Cheshire Wheelchair Service,CH65 2HB,Poole Centre New Grosvenor Road   Ellesmere Port Cheshire,0151 357 1070,0151 356 2984,,http://www.wirralct.nhs.uk,Wirral Community NHS Trust,West Cheshire CCG
wepenin,E38000182,E38000182,West Pennine Wheelchair Service,SK14 4NL,Tameside and Glossop Community Business Group Unit 8 Hyde Point Industrial Estate Dunkirk Lane  Hyde Cheshire,0161 335 2800,0161 335 2812,,,Stockport Foundation Trust,Stockport Foundation Trust
warringn,E38000194,E38000194,Warrington Wheelchair Service,WA5 7TN,226A Europa Boulevard Westbrook   Warrington Cheshire,01925 251445,01925 251446,wheels@warrington-pct.nhs.uk,,Bridgewater Community Healthcare NHS Trust,Warrington CCG
hartlepl,E38000075,E38000075,Hartlepool Wheelchair Service,TS24 9AH,Wheelchair Service University Hospital of Hartlepool Holdforth Road  Hartlepool County Durham,01429 522969,01429 522993,judith.ruddle@nth.nhs.uk,,North Tees and Hartlepool Foundation Trust,North Tees and Hartlepool CCG
cambpen,E38000089,E38000089,Peninsula Community Health Wheelchair Service,TR153ER,Camborne and Redruth Community Hospital Barncoose Terrace   Redruth Cornwall,01209 318122,,refs.whchs@cornwall.nhs.uk,,Peninsula Community Health,Kernow CCG
